NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
Tristan Thompson,CLE,-1.01,0.79,-0.22,3.24,16,22016,92.0
Tobias Harris,ORL/DET,-1.39,1.16,-0.23,3.5,16,22016,127.0
Nikola Vucevic,ORL,0.27,-0.54,-0.28,2.81,16,22016,32.0
Kyrie Irving,CLE,1.74,-2.02,-0.28,2.29,16,22016,25.0
JaMychal Green,MEM,-0.68,0.37,-0.3,1.99,16,22016,342.0
Dwight Powell,DAL,-1.8,1.46,-0.34,1.36,16,22016,163.0
Gerald Green,MIA,-0.64,0.29,-0.35,2.04,16,22016,330.0
Randy Foye,DEN/OKC,-1.83,1.48,-0.35,2.2,16,22016,227.0
Greg Monroe,MIL,0.8,-1.16,-0.36,3.08,16,22016,187.0
Luke Babbitt,NO,0.19,-0.55,-0.37,1.16,16,22016,510.0
Reggie Bullock,DET,-0.29,-0.1,-0.39,0.54,16,22016,364.0
Willie Reed,BKN,-0.75,0.36,-0.4,0.57,16,22016,578.0
Jordan McRae,PHX/CLE,-0.15,-0.26,-0.41,0.24,16,22016,679.0
Sergey Karasev,BKN,-0.08,-0.37,-0.45,0.54,16,22016,602.0
Kyle Anderson,SA,-2.69,2.23,-0.46,1.54,16,22016,142.0
Amir Johnson,BOS,-1.34,0.87,-0.47,2.32,16,22016,154.0
KJ McDaniels,HOU,-0.59,0.09,-0.5,0.31,16,22016,662.0
Elfrid Payton,ORL,-0.11,-0.39,-0.5,2.66,16,22016,222.0
Sean Kilpatrick,DEN/BKN,3.59,-4.1,-0.52,0.8,16,22016,689.0
